     ====> Interaction part
Nucleon-Nucleon interaction model: who knows?
Type of calculation: magical
Number and value of starting energies:   1
  0.000000E+00
Total number of twobody matx elements:         34320           78000        311032          78000
Matrix elements with the following legend, NOTE no hw/A for Hcom, pipj and rirj
      Tz      Parity    J2        a        b        c        d     <ab|V|cd>    <ab|0|cd>    <ab|0|cd>    <ab|0|cd>
      -1        0        0        2       16        2       16    -1.222865     0.000000     0.000000     0.000000
      -1        0        0        2       16        4        4    -1.305161     0.000000     0.000000     0.000000
      -1        0        0        2       16        4       18    -4.227840     0.000000     0.000000     0.000000
      -1        0        0        2       16        6        6    -2.722005     0.000000     0.000000     0.000000
      -1        0        0        2       16        6       24    -2.088088     0.000000     0.000000     0.000000
      -1        0        0        2       16        8        8    -1.220303     0.000000     0.000000     0.000000
      -1        0        0        2       16        8       26     1.027959     0.000000     0.000000     0.000000
      -1        0        0        2       16       10       10    -2.555395     0.000000     0.000000     0.000000
      -1        0        0        2       16       10       28    -2.461801     0.000000     0.000000     0.000000
      -1        0        0        2       16       12       12     1.302252     0.000000     0.000000     0.000000
      -1        0        0        2       16       14       14     1.323867     0.000000     0.000000     0.000000
      -1        0        0        2       16       16       16     1.166758     0.000000     0.000000     0.000000
      -1        0        0        2       16       18       18    -0.800838     0.000000     0.000000     0.000000
      -1        0        0        2       16       20       20    -0.386594     0.000000     0.000000     0.000000
      -1        0        0        2       16       22       22    -0.737950     0.000000     0.000000     0.000000
      -1        0        0        2       16       24       24    -1.201890     0.000000     0.000000     0.000000
      -1        0        0        2       16       26       26     0.728392     0.000000     0.000000     0.000000
      -1        0        0        2       16       28       28    -1.426060     0.000000     0.000000     0.000000
      -1        0        0        4        4        4        4     0.320800     0.000000     0.000000     0.000000
      -1        0        0        4        4        4       18     1.360447     0.000000     0.000000     0.000000
      -1        0        0        4        4        6        6    -0.000000     0.000000     0.000000     0.000000
      -1        0        0        4        4        6       24    -0.000000     0.000000     0.000000     0.000000
      -1        0        0        4        4        8        8     0.000002     0.000000     0.000000     0.000000
      -1        0        0        4        4        8       26     0.000002     0.000000     0.000000     0.000000
      -1        0        0        4        4       10       10     0.000001     0.000000     0.000000     0.000000
      -1        0        0        4        4       10       28     0.000000     0.000000     0.000000     0.000000
      -1        0        0        4        4       12       12    -0.000000     0.000000     0.000000     0.000000
      -1        0        0        4        4       14       14     0.000000     0.000000     0.000000     0.000000
      -1        0        0        4        4       16       16    -0.000000     0.000000     0.000000     0.000000
      -1        0        0        4        4       18       18     0.000000     0.000000     0.000000     0.000000
      -1        0        0        4        4       20       20     0.000000     0.000000     0.000000     0.000000
      -1        0        0        4        4       22       22    -0.000000     0.000000     0.000000     0.000000
      -1        0        0        4        4       24       24    -0.000000     0.000000     0.000000     0.000000
      -1        0        0        4        4       26       26     0.000000     0.000000     0.000000     0.000000
      -1        0        0        4        4       28       28     0.000000     0.000000     0.000000     0.000000
      -1        0        0        4       18        4       18     1.654107     0.000000     0.000000     0.000000
      -1        0        0        4       18        6        6    -1.042530     0.000000     0.000000     0.000000
      -1        0        0        4       18        6       24     1.634160     0.000000     0.000000     0.000000
      -1        0        0        4       18        8        8    -1.151008     0.000000     0.000000     0.000000
      -1        0        0        4       18        8       26    -2.718242     0.000000     0.000000     0.000000
      -1        0        0        4       18       10       10    -1.748236     0.000000     0.000000     0.000000
      -1        0        0        4       18       10       28    -1.563021     0.000000     0.000000     0.000000
      -1        0        0        4       18       12       12     1.271606     0.000000     0.000000     0.000000
      -1        0        0        4       18       14       14     0.573711     0.000000     0.000000     0.000000
      -1        0        0        4       18       16       16    -0.503104     0.000000     0.000000     0.000000
      -1        0        0        4       18       18       18     1.645947     0.000000     0.000000     0.000000
      -1        0        0        4       18       20       20    -0.747715     0.000000     0.000000     0.000000
      -1        0        0        4       18       22       22    -0.060063     0.000000     0.000000     0.000000
      -1        0        0        4       18       24       24     0.538347     0.000000     0.000000     0.000000
      -1        0        0        4       18       26       26    -1.982458     0.000000     0.000000     0.000000
      -1        0        0        4       18       28       28    -0.810589     0.000000     0.000000     0.000000
      -1        0        0        6        6        6        6    -0.878560     0.000000     0.000000     0.000000
      -1        0        0        6        6        6       24     0.992333     0.000000     0.000000     0.000000
