0  -3.77499  0  0
0.1  -5.99515  0  0
0.2  -7.80901  0  0
0.3  -9.30781  0  0
0.4  -10.5589  0  0
0.5  -11.6129  0  0
0.6  -12.5083  0  0
0.7  -13.2749  0  0
0.8  -13.9359  0  0
0.9  -14.5096  0  0
1  -15.0103  0  0
1.1  -15.4499  0  0
1.2  -15.8378  0  0
1.3  -16.1815  0  0
1.4  -16.4875  0  0
1.5  -16.7609  0  0
1.6  -17.006  0  0
1.7  -17.2266  0  0
1.8  -17.4256  0  0
1.9  -17.6058  0  0
2  -17.7692  0  0
2.1  -17.9178  0  0
2.2  -18.0532  0  0
2.3  -18.1769  0  0
2.4  -18.2901  0  0
2.5  -18.3939  0  0
2.6  -18.4891  0  0
2.7  -18.5767  0  0
2.8  -18.6574  0  0
2.9  -18.7317  0  0
