 Nmax:           2
 hbar Omega:   40.000000000000000     
 mpi:   138.03027357350001     
 f^2:   8.0000000000000002E-002
 Lambda:Infinity
           Bra         Ket            ME_rel           ME_CM 
          79           1   0.0000000000000000       -4.8133894755331174E-008
          80           1   0.0000000000000000        4.8133894755331174E-008
          85           1   0.0000000000000000        4.9707491433758628E-008
          87           1   0.0000000000000000       -3.5148504268582924E-008
          88           1   0.0000000000000000        3.5148504268582944E-008
          90           1   0.0000000000000000        7.8594444851992925E-008
          91           1   0.0000000000000000       -5.8664342083705448E-008
          93           1   0.0000000000000000       -7.1848852100580030E-008
          95           1   0.0000000000000000       -5.8664342083705448E-008
          97           1   0.0000000000000000        7.1848852100580030E-008
           5           2  -1.3884528279427245E-004   0.0000000000000000     
          79           2   2.7034389845304404E-005   0.0000000000000000     
          80           2   2.7034389845304410E-005   0.0000000000000000     
          81           2  -2.2073486876158310E-005  -8.6095900680064767E-008
          82           2  -3.1216624509127579E-005   6.0878995203237238E-008
          83           2   0.0000000000000000        4.8133894755331286E-008
          84           2   0.0000000000000000       -4.8133894755331286E-008
          85           2   0.0000000000000000        1.3170154068039285E-023
          86           2   0.0000000000000000       -9.2756469209888803E-008
          87           2   0.0000000000000000       -7.4561237150637968E-008
          88           2   0.0000000000000000       -7.4561237150637982E-008
          89           2   0.0000000000000000       -9.2756469209888803E-008
          90           2   0.0000000000000000       -4.3900513560130937E-024
          91           2   0.0000000000000000        7.1848852100580043E-008
          92           2   0.0000000000000000       -4.3047950340032350E-008
          93           2   0.0000000000000000       -5.8664342083705455E-008
          94           2   0.0000000000000000        4.3047950340032357E-008
          95           2   0.0000000000000000       -7.1848852100580070E-008
          96           2   0.0000000000000000       -8.6095900680064661E-008
          97           2   0.0000000000000000       -5.8664342083705488E-008
          41           5   0.0000000000000000        4.8133895619249438E-008
          42           5   0.0000000000000000       -4.8133895619249438E-008
          47           5   0.0000000000000000       -4.9707492325920174E-008
          49           5   0.0000000000000000        3.5148504899436407E-008
          50           5   0.0000000000000000       -3.5148504899436427E-008
          52           5   0.0000000000000000       -7.8594446262624192E-008
          53           5   0.0000000000000000        5.8664343136626615E-008
          55           5   0.0000000000000000        7.1848853390139822E-008
